@RELATION TWEET 

@ATTRIBUTE fp_pronoun		NUMERIC
@ATTRIBUTE sp_pronoun		NUMERIC
@ATTRIBUTE tp_pronoun		NUMERIC
@ATTRIBUTE coordinat_conj		NUMERIC
@ATTRIBUTE past_tense_verbs		NUMERIC
@ATTRIBUTE future_tense_verbs		NUMERIC
@ATTRIBUTE commas		NUMERIC
@ATTRIBUTE colons		NUMERIC
@ATTRIBUTE dash		NUMERIC
@ATTRIBUTE parentheses		NUMERIC
@ATTRIBUTE ellipses		NUMERIC
@ATTRIBUTE common_nouns		NUMERIC
@ATTRIBUTE proper_nouns		NUMERIC
@ATTRIBUTE adverbs		NUMERIC
@ATTRIBUTE wh-words		NUMERIC
@ATTRIBUTE modern_slang		NUMERIC
@ATTRIBUTE upper_case		NUMERIC
@ATTRIBUTE avg_len_token		NUMERIC
@ATTRIBUTE avg_len_sentence		NUMERIC
@ATTRIBUTE num_sentence		NUMERIC
@ATTRIBUTE class		{cnn, CBCNews}

@DATA
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 4, 3, 0, 0, 0, 2, 1, 66, 1, CBCNews
0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 74, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 83, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 1, 91, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 2, 1, 101, 1, CBCNews
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 1, 111, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 13, 1, 2, 0, 0, 2, 1, 44, 3, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 139, 1, CBCNews
0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 5, 2, 0, 0, 0, 2, 1, 154, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 1, 160, 1, CBCNews
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 1, 167, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 1, 1, 174, 1, CBCNews
0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 1, 183, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0, 0, 1, 191, 1, CBCNews
0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 198, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 203, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 208, 1, CBCNews
0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 216, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 2, 1, 223, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 228, 1, CBCNews
0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 4, 1, 0, 0, 0, 1, 1, 238, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 1, 1, 244, 1, CBCNews
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 2, 0, 0, 0, 0, 1, 253, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 1, 259, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 263, 1, CBCNews
0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 9, 0, 1, 0, 0, 0, 1, 140, 2, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 285, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 1, 292, 1, CBCNews
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 1, 300, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 307, 1, CBCNews
0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 1, 315, 1, CBCNews
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 0, 1, 326, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 0, 0, 1, 334, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 1, 341, 1, CBCNews
0, 0, 0, 0, 1, 0, 1, 2, 1, 0, 0, 5, 5, 0, 0, 0, 1, 1, 358, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 366, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 1, 373, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 0, 0, 1, 383, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 390, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 1, 398, 1, CBCNews
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 403, 1, CBCNews
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 1, 1, 412, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0, 0, 1, 419, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 1, 0, 0, 0, 0, 1, 429, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 4, 1, 0, 0, 0, 0, 1, 438, 1, CBCNews
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 3, 0, 0, 0, 0, 1, 449, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 1, 454, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 1, 460, 1, CBCNews
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 467, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 1, 476, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 483, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 489, 1, CBCNews
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 496, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 4, 0, 0, 0, 0, 1, 505, 1, CBCNews
0, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 3, 6, 0, 0, 0, 3, 1, 133, 4, CBCNews
0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 538, 1, CBCNews
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 274, 2, CBCNews
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 558, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 0, 0, 0, 1, 564, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 570, 1, CBCNews
